20191001 030400;117.813000;117.822000;117.811000;117.819000;0
20191001 030500;117.818000;117.828000;117.811000;117.821000;0
20191001 030600;117.822000;117.854000;117.821000;117.850000;0
20191001 030700;117.851000;117.865000;117.845000;117.864000;0
20191001 030800;117.865000;117.904000;117.863000;117.900000;0
20191001 030900;117.900000;117.900000;117.878000;117.884000;0
20191001 031000;117.885000;117.917000;117.881000;117.917000;0
20191001 031100;117.917000;117.925000;117.896000;117.901000;0
20191001 031200;117.901000;117.924000;117.900000;117.909000;0
20191001 031300;117.907000;117.907000;117.887000;117.891000;0
20191001 031400;117.891000;117.902000;117.879000;117.879000;0
20191001 031500;117.879000;117.887000;117.867000;117.873000;0
20191001 031600;117.874000;117.902000;117.869000;117.901000;0
20191001 031700;117.902000;117.902000;117.861000;117.865000;0
20191001 031800;117.864000;117.890000;117.864000;117.888000;0
20191001 031900;117.887000;117.902000;117.882000;117.899000;0
20191001 032000;117.899000;117.915000;117.898000;117.905000;0
20191001 032100;117.904000;117.907000;117.900000;117.900000;0
20191001 032200;117.901000;117.906000;117.899000;117.901000;0
20191001 032300;117.901000;117.901000;117.883000;117.894000;0
20191001 032400;117.893000;117.902000;117.893000;117.902000;0
20191001 032500;117.902000;117.943000;117.901000;117.942000;0
20191001 032600;117.942000;117.943000;117.917000;117.927000;0
20191001 032700;117.926000;117.931000;117.904000;117.921000;0
20191001 032800;117.922000;118.021000;117.922000;117.987000;0
20191001 032900;117.988000;118.001000;117.973000;117.988000;0
20191001 033000;117.989000;118.007000;117.973000;118.001000;0
20191001 033100;118.000000;118.034000;118.000000;118.033000;0
20191001 033200;118.036000;118.046000;118.022000;118.024000;0
20191001 033300;118.023000;118.037000;118.018000;118.018000;0
20191001 033400;118.019000;118.035000;118.008000;118.024000;0
20191001 033500;118.025000;118.060000;118.024000;118.045000;0
20191001 033600;118.044000;118.046000;118.006000;118.006000;0
20191001 033700;118.005000;118.022000;118.003000;118.017000;0
20191001 033800;118.017000;118.023000;117.998000;117.999000;0
20191001 033900;117.999000;117.999000;117.971000;117.973000;0
20191001 034000;117.972000;118.007000;117.972000;118.001000;0
20191001 034100;118.002000;118.026000;118.002000;118.023000;0
20191001 034200;118.022000;118.033000;118.012000;118.030000;0
20191001 034300;118.029000;118.029000;117.999000;118.005000;0
20191001 034400;118.004000;118.004000;117.987000;117.989000;0
20191001 034500;117.990000;117.990000;117.975000;117.981000;0
20191001 034600;117.980000;117.991000;117.975000;117.979000;0
20191001 034700;117.978000;117.984000;117.972000;117.979000;0
20191001 034800;117.980000;117.988000;117.973000;117.977000;0
20191001 034900;117.978000;117.994000;117.977000;117.992000;0
20191001 035000;117.991000;117.994000;117.977000;117.978000;0
20191001 035100;117.979000;117.981000;117.954000;117.964000;0
20191001 035200;117.965000;117.977000;117.964000;117.964000;0
20191001 035300;117.963000;117.973000;117.962000;117.971000;0
20191001 035400;117.969000;117.971000;117.955000;117.956000;0
20191001 035500;117.958000;117.982000;117.956000;117.957000;0
20191001 035600;117.956000;117.962000;117.948000;117.949000;0
20191001 035700;117.949000;117.953000;117.939000;117.948000;0
